Spectrometer
Copyright © Kvant 2011. All rights reserved.

Date: Tuesday, May 19, 2026 5:23:59 PM
Source image name: .bmp
Source image [pixels]: 1280 x 1024
Source image processed height [pixels]: 20
Source image processed [position pixel range]: 567 - 587

Spectrum range [nm]: 360.4 - 931.3

Chart Points:

Wave Length [nm]	Intensity [a.u.]

===START===
360.4	0.0
360.8	0.0
361.3	0.0
361.8	0.0
362.3	0.0
362.7	0.0
363.2	0.0
363.7	0.0
364.2	0.0
364.6	0.0
365.1	0.0
365.6	0.0
366.1	0.0
366.5	0.0
367.0	0.0
367.5	0.0
368.0	0.0
368.4	0.0
368.9	0.0
369.4	0.0
369.9	0.0
370.3	0.0
370.8	0.0
371.3	0.0
371.8	0.0
372.2	0.0
372.7	0.0
373.2	0.0
373.7	0.0
374.1	0.0
374.6	0.0
375.1	0.0
375.6	0.0
376.0	0.0
376.5	0.0
377.0	0.0
377.5	0.0
377.9	0.0
378.4	0.0
378.9	0.0
379.4	0.0
379.8	0.0
380.3	0.0
380.8	0.0
381.3	0.0
381.7	0.0
382.2	0.0
382.7	0.0
383.2	0.0
383.6	0.0
384.1	0.0
384.6	0.0
385.1	0.0
385.5	0.0
386.0	0.0
386.5	0.0
387.0	0.0
387.4	0.0
387.9	0.0
388.4	0.0
388.9	0.0
389.3	0.0
389.8	0.0
390.3	0.0
390.8	0.0
391.2	0.0
391.7	0.0
392.2	0.0
392.7	0.0
393.1	0.0
393.6	0.0
394.1	0.0
394.5	0.0
395.0	0.0
395.5	0.0
396.0	0.0
396.4	0.0
396.9	0.0
397.4	0.0
397.9	0.0
398.3	0.0
398.8	0.0
399.3	0.0
399.8	0.0
400.2	0.0
400.7	0.0
401.2	0.0
401.6	7.6
402.1	11.7
402.6	54.8
403.1	57.7
403.5	93.4
404.0	92.7
404.5	91.6
405.0	90.3
405.4	61.6
405.9	60.3
406.4	35.4
406.9	34.7
407.3	5.2
407.8	4.3
408.3	0.0
408.7	0.0
409.2	0.8
409.7	0.7
410.2	0.0
410.6	0.0
411.1	0.0
411.6	0.0
412.1	0.0
412.5	0.0
413.0	0.6
413.5	0.4
413.9	0.0
414.4	0.0
414.9	0.0
415.4	0.0
415.8	0.6
416.3	0.4
416.8	0.3
417.2	0.2
417.7	2.2
418.2	2.0
418.7	1.3
419.1	1.1
419.6	5.9
420.1	6.0
420.6	6.4
421.0	5.8
421.5	1.0
422.0	0.9
422.4	2.2
422.9	2.2
423.4	5.3
423.9	5.2
424.3	5.6
424.8	5.8
425.3	7.1
425.7	7.6
426.2	17.7
426.7	17.7
427.2	20.0
427.6	20.7
428.1	27.7
428.6	28.4
429.0	35.2
429.5	35.5
430.0	41.2
430.5	41.5
430.9	55.3
431.4	56.4
431.9	71.2
432.3	77.6
432.8	156.5
433.3	166.0
433.8	255.0
434.2	255.0
434.7	255.0
435.2	216.6
435.6	255.0
436.1	253.2
436.6	255.0
437.1	254.7
437.5	161.3
438.0	158.7
438.5	86.6
438.9	86.5
439.4	76.6
439.9	75.5
440.3	59.0
440.8	59.0
441.3	58.6
441.8	58.4
442.2	55.3
442.7	55.3
443.2	52.8
443.6	52.7
444.1	51.9
444.6	51.9
445.1	52.6
445.5	52.3
446.0	50.7
446.5	50.7
446.9	52.2
447.4	52.3
447.9	55.6
448.3	55.7
448.8	55.8
449.3	55.7
449.8	53.8
450.2	53.9
450.7	54.4
451.2	54.3
451.6	57.0
452.1	56.9
452.6	55.1
453.0	55.0
453.5	56.4
454.0	56.2
454.5	52.9
454.9	53.3
455.4	60.8
455.9	60.6
456.3	56.2
456.8	56.4
457.3	59.2
457.7	59.2
458.2	58.6
458.7	58.6
459.1	58.8
459.6	58.8
460.1	58.8
460.6	58.5
461.0	56.3
461.5	56.4
462.0	58.9
462.4	58.5
462.9	56.0
463.4	56.1
463.8	60.2
464.3	59.8
464.8	56.8
465.2	56.8
465.7	57.2
466.2	57.2
466.7	56.7
467.1	56.5
467.6	54.3
468.1	54.3
468.5	55.8
469.0	55.5
469.5	51.3
469.9	51.3
470.4	48.3
470.9	48.5
471.3	49.8
471.8	49.7
472.3	48.5
472.7	48.4
473.2	48.3
473.7	48.2
474.2	46.2
474.6	46.3
475.1	47.7
475.6	47.8
476.0	50.4
476.5	50.4
477.0	50.7
477.4	50.7
477.9	50.2
478.4	51.0
478.8	61.2
479.3	61.5
479.8	69.2
480.2	71.5
480.7	88.3
481.2	91.5
481.6	106.1
482.1	111.6
482.6	130.1
483.0	138.4
483.5	165.0
484.0	170.4
484.4	191.7
484.9	193.9
485.4	201.6
485.8	202.9
486.3	202.1
486.8	199.8
487.3	194.1
487.7	191.1
488.2	173.4
488.7	173.7
489.1	163.3
489.6	163.0
490.1	145.7
490.5	144.5
491.0	134.6
491.5	133.9
491.9	119.6
492.4	118.4
492.9	107.1
493.3	104.3
493.8	96.0
494.3	94.8
494.7	87.9
495.2	87.7
495.7	76.4
496.1	75.0
496.6	67.5
497.1	65.7
497.5	58.8
498.0	57.2
498.5	47.3
498.9	47.2
499.4	36.6
499.9	36.1
500.3	26.1
500.8	21.9
501.3	24.9
501.7	22.7
502.2	6.8
502.7	7.2
503.1	6.9
503.6	7.1
504.1	7.5
504.5	8.2
505.0	8.4
505.5	9.3
505.9	7.4
506.4	6.5
506.9	2.7
507.3	3.0
507.8	4.0
508.3	4.1
508.7	8.8
509.2	8.4
509.7	8.2
510.1	8.8
510.6	9.0
511.0	9.1
511.5	9.7
512.0	9.6
512.4	8.2
512.9	8.8
513.4	11.2
513.8	10.1
514.3	9.3
514.8	8.8
515.2	7.6
515.7	7.4
516.2	7.9
516.6	7.1
517.1	6.6
517.6	5.3
518.0	4.5
518.5	3.3
519.0	2.8
519.4	3.2
519.9	2.4
520.4	2.3
520.8	1.9
