Spectrometer
Copyright © Kvant 2011. All rights reserved.

Date: Tuesday, May 19, 2026 5:23:34 PM
Source image name: .bmp
Source image [pixels]: 1280 x 1024
Source image processed height [pixels]: 20
Source image processed [position pixel range]: 567 - 587

Spectrum range [nm]: 360.4 - 931.3

Chart Points:

Wave Length [nm]	Intensity [a.u.]

===START===
360.4	0.0
360.8	0.0
361.3	0.0
361.8	0.0
362.3	0.0
362.7	0.0
363.2	0.0
363.7	0.0
364.2	0.0
364.6	0.0
365.1	0.0
365.6	0.0
366.1	0.0
366.5	0.0
367.0	0.0
367.5	0.0
368.0	0.0
368.4	0.0
368.9	0.0
369.4	0.0
369.9	0.0
370.3	0.0
370.8	0.0
371.3	0.0
371.8	0.0
372.2	0.0
372.7	0.0
373.2	0.0
373.7	0.0
374.1	0.0
374.6	0.0
375.1	0.0
375.6	0.0
376.0	0.0
376.5	0.0
377.0	0.0
377.5	0.0
377.9	0.0
378.4	0.0
378.9	0.0
379.4	0.0
379.8	0.0
380.3	0.0
380.8	0.0
381.3	0.0
381.7	0.0
382.2	0.0
382.7	0.0
383.2	0.0
383.6	0.0
384.1	0.0
384.6	0.0
385.1	0.0
385.5	0.0
386.0	0.0
386.5	0.0
387.0	0.0
387.4	0.0
387.9	0.0
388.4	0.0
388.9	0.0
389.3	0.0
389.8	0.0
390.3	0.0
390.8	0.0
391.2	0.0
391.7	0.0
392.2	0.0
392.7	0.0
393.1	0.0
393.6	0.0
394.1	0.0
394.5	0.0
395.0	0.0
395.5	0.0
396.0	0.0
396.4	0.0
396.9	0.0
397.4	0.0
397.9	0.0
398.3	0.0
398.8	0.0
399.3	0.0
399.8	0.0
400.2	0.0
400.7	0.0
401.2	0.0
401.6	2.5
402.1	2.1
402.6	0.3
403.1	0.3
403.5	1.9
404.0	1.9
404.5	2.6
405.0	2.4
405.4	1.3
405.9	1.3
406.4	5.6
406.9	5.0
407.3	3.6
407.8	3.2
408.3	1.6
408.7	1.5
409.2	1.5
409.7	1.4
410.2	3.9
410.6	4.5
411.1	14.6
411.6	14.8
412.1	16.6
412.5	17.1
413.0	23.1
413.5	23.1
413.9	21.3
414.4	21.5
414.9	27.7
415.4	27.9
415.8	29.2
416.3	29.7
416.8	35.1
417.2	35.1
417.7	36.3
418.2	36.2
418.7	34.0
419.1	34.1
419.6	35.5
420.1	35.7
420.6	37.8
421.0	37.8
421.5	37.6
422.0	38.0
422.4	42.4
422.9	42.3
423.4	41.9
423.9	41.9
424.3	41.4
424.8	41.5
425.3	42.0
425.7	41.9
426.2	42.0
426.7	42.1
427.2	43.7
427.6	43.8
428.1	47.2
428.6	47.3
429.0	47.8
429.5	47.9
430.0	49.7
430.5	49.8
430.9	50.8
431.4	51.1
431.9	57.1
432.3	57.2
432.8	57.3
433.3	57.4
433.8	61.3
434.2	61.1
434.7	59.8
435.2	60.1
435.6	62.1
436.1	62.2
436.6	65.3
437.1	65.2
437.5	65.1
438.0	65.6
438.5	70.6
438.9	70.5
439.4	70.0
439.9	70.3
440.3	76.8
440.8	76.7
441.3	76.8
441.8	76.8
442.2	79.3
442.7	79.3
443.2	80.6
443.6	80.9
444.1	81.4
444.6	81.2
445.1	81.0
445.5	80.5
446.0	76.9
446.5	77.6
446.9	81.8
447.4	82.1
447.9	84.9
448.3	85.1
448.8	85.1
449.3	85.5
449.8	88.4
450.2	88.4
450.7	88.0
451.2	88.2
451.6	89.6
452.1	89.6
452.6	90.5
453.0	90.7
453.5	94.9
454.0	94.8
454.5	93.1
454.9	93.2
455.4	96.1
455.9	95.9
456.3	95.3
456.8	95.3
457.3	97.5
457.7	97.6
458.2	98.8
458.7	99.2
459.1	105.7
459.6	105.5
460.1	104.0
460.6	103.9
461.0	104.5
461.5	104.5
462.0	104.9
462.4	104.9
462.9	105.3
463.4	105.3
463.8	103.4
464.3	103.4
464.8	104.0
465.2	104.0
465.7	102.6
466.2	102.7
466.7	103.6
467.1	103.6
467.6	103.7
468.1	103.7
468.5	104.2
469.0	104.2
469.5	104.8
469.9	104.9
470.4	104.9
470.9	104.6
471.3	102.1
471.8	102.3
472.3	106.9
472.7	107.1
473.2	107.2
473.7	107.3
474.2	108.5
474.6	108.5
475.1	107.7
475.6	107.7
476.0	106.5
476.5	106.6
477.0	108.4
477.4	108.2
477.9	106.8
478.4	106.7
478.8	109.7
479.3	110.3
479.8	104.4
480.2	105.7
480.7	104.1
481.2	103.9
481.6	101.9
482.1	103.6
482.6	103.8
483.0	104.3
483.5	102.2
484.0	104.1
484.4	103.6
484.9	106.7
485.4	104.9
485.8	104.8
486.3	102.1
486.8	104.4
487.3	101.0
487.7	101.8
488.2	99.0
488.7	99.3
489.1	99.0
489.6	98.9
490.1	95.4
490.5	95.8
491.0	92.2
491.5	92.6
491.9	94.0
492.4	94.4
492.9	89.5
493.3	89.2
493.8	84.2
494.3	85.7
494.7	81.4
495.2	81.9
495.7	78.8
496.1	80.2
496.6	80.5
497.1	80.6
497.5	76.1
498.0	77.4
498.5	76.7
498.9	77.0
499.4	73.1
499.9	73.1
500.3	70.6
500.8	71.8
501.3	70.2
501.7	70.9
502.2	66.2
502.7	67.0
503.1	64.3
503.6	65.1
504.1	64.4
504.5	66.1
505.0	65.9
505.5	66.0
505.9	66.2
506.4	66.8
506.9	69.2
507.3	69.8
507.8	70.4
508.3	71.5
508.7	73.9
509.2	75.3
509.7	78.1
510.1	78.1
510.6	79.0
511.0	78.8
511.5	80.0
512.0	79.4
512.4	80.0
512.9	80.2
513.4	82.8
513.8	83.1
514.3	84.7
514.8	84.1
515.2	85.6
515.7	85.6
516.2	86.2
516.6	86.5
517.1	88.4
517.6	88.0
518.0	89.1
518.5	88.7
519.0	90.0
519.4	90.3
519.9	91.0
520.4	91.0
520.8	90.6
