Spectrometer
Copyright © Kvant 2011. All rights reserved.

Date: Tuesday, May 19, 2026 5:21:12 PM
Source image name: .bmp
Source image [pixels]: 1280 x 1024
Source image processed height [pixels]: 20
Source image processed [position pixel range]: 567 - 587

Spectrum range [nm]: 360.4 - 931.3

Chart Points:

Wave Length [nm]	Intensity [a.u.]

===START===
360.4	0.0
360.8	0.0
361.3	0.0
361.8	0.0
362.3	0.0
362.7	0.0
363.2	0.0
363.7	0.0
364.2	0.0
364.6	0.0
365.1	0.0
365.6	0.0
366.1	0.0
366.5	0.0
367.0	0.0
367.5	0.0
368.0	0.0
368.4	0.0
368.9	0.0
369.4	0.0
369.9	0.0
370.3	0.0
370.8	0.0
371.3	0.0
371.8	0.0
372.2	0.0
372.7	0.0
373.2	0.0
373.7	0.0
374.1	0.0
374.6	0.0
375.1	0.0
375.6	0.0
376.0	0.0
376.5	0.0
377.0	0.0
377.5	0.0
377.9	0.0
378.4	0.0
378.9	0.0
379.4	0.0
379.8	0.0
380.3	0.0
380.8	0.6
381.3	0.4
381.7	0.0
382.2	0.0
382.7	0.0
383.2	0.0
383.6	0.0
384.1	0.0
384.6	0.0
385.1	0.0
385.5	0.0
386.0	0.0
386.5	0.0
387.0	0.0
387.4	0.0
387.9	0.0
388.4	0.0
388.9	0.0
389.3	0.0
389.8	0.0
390.3	0.0
390.8	0.0
391.2	0.0
391.7	0.0
392.2	0.0
392.7	0.0
393.1	0.0
393.6	0.0
394.1	0.3
394.5	0.3
395.0	0.0
395.5	0.0
396.0	0.0
396.4	0.0
396.9	0.0
397.4	0.0
397.9	0.0
398.3	0.0
398.8	0.0
399.3	0.0
399.8	0.0
400.2	0.0
400.7	0.0
401.2	0.0
401.6	0.0
402.1	0.0
402.6	0.0
403.1	0.0
403.5	0.0
404.0	0.0
404.5	0.0
405.0	0.0
405.4	0.0
405.9	0.0
406.4	0.0
406.9	0.0
407.3	0.0
407.8	0.0
408.3	0.0
408.7	0.0
409.2	0.0
409.7	0.0
410.2	0.0
410.6	0.0
411.1	0.0
411.6	0.0
412.1	0.0
412.5	0.0
413.0	0.0
413.5	0.0
413.9	0.0
414.4	0.0
414.9	0.0
415.4	0.0
415.8	0.0
416.3	0.0
416.8	0.0
417.2	0.0
417.7	0.0
418.2	0.0
418.7	0.0
419.1	0.0
419.6	0.0
420.1	0.0
420.6	0.0
421.0	0.0
421.5	0.0
422.0	0.0
422.4	1.7
422.9	1.5
423.4	0.0
423.9	0.0
424.3	0.3
424.8	0.2
425.3	0.0
425.7	0.0
426.2	3.5
426.7	3.2
427.2	0.5
427.6	0.6
428.1	9.8
428.6	9.4
429.0	5.0
429.5	5.5
430.0	22.6
430.5	22.6
430.9	29.1
431.4	30.2
431.9	38.3
432.3	39.0
432.8	47.2
433.3	47.4
433.8	54.8
434.2	54.4
434.7	56.6
435.2	57.2
435.6	68.4
436.1	69.2
436.6	78.4
437.1	78.9
437.5	90.9
438.0	90.9
438.5	104.9
438.9	103.9
439.4	114.2
439.9	114.8
440.3	125.7
440.8	126.2
441.3	130.2
441.8	129.5
442.2	142.3
442.7	143.4
443.2	153.0
443.6	149.9
444.1	157.6
444.6	156.3
445.1	166.3
445.5	164.0
446.0	171.3
446.5	167.9
446.9	174.1
447.4	174.1
447.9	183.5
448.3	181.7
448.8	184.0
449.3	185.5
449.8	193.8
450.2	187.0
450.7	184.5
451.2	183.0
451.6	181.2
452.1	179.1
452.6	176.5
453.0	176.3
453.5	174.2
454.0	173.3
454.5	170.0
454.9	167.7
455.4	160.3
455.9	161.5
456.3	158.3
456.8	157.7
457.3	154.3
457.7	154.1
458.2	152.3
458.7	151.7
459.1	151.5
459.6	151.0
460.1	149.5
460.6	148.4
461.0	145.9
461.5	146.2
462.0	148.1
462.4	147.7
462.9	149.2
463.4	148.3
463.8	145.0
464.3	143.9
464.8	135.2
465.2	135.4
465.7	128.1
466.2	127.4
466.7	127.1
467.1	127.6
467.6	129.3
468.1	130.3
468.5	128.7
469.0	126.9
469.5	124.1
469.9	121.8
470.4	117.9
470.9	116.5
471.3	122.6
471.8	116.4
472.3	107.3
472.7	110.4
473.2	115.7
473.7	115.9
474.2	120.6
474.6	117.8
475.1	113.1
475.6	111.8
476.0	110.8
476.5	113.6
477.0	113.5
477.4	114.2
477.9	110.0
478.4	109.4
478.8	108.7
479.3	111.9
479.8	112.2
480.2	113.4
480.7	111.1
481.2	112.2
481.6	108.3
482.1	109.7
482.6	109.9
483.0	111.0
483.5	111.2
484.0	114.4
484.4	117.2
484.9	115.5
485.4	115.1
485.8	118.6
486.3	109.0
486.8	110.7
487.3	110.8
487.7	111.8
488.2	109.4
488.7	109.1
489.1	106.3
489.6	107.2
490.1	107.1
490.5	107.0
491.0	104.3
491.5	104.4
491.9	102.2
492.4	102.9
492.9	98.5
493.3	98.7
493.8	96.1
494.3	97.1
494.7	93.4
495.2	92.4
495.7	86.1
496.1	87.7
496.6	88.3
497.1	89.1
497.5	89.0
498.0	89.6
498.5	90.9
498.9	90.9
499.4	90.1
499.9	91.1
500.3	87.6
500.8	87.4
501.3	86.6
501.7	87.1
502.2	77.9
502.7	79.3
503.1	79.5
503.6	81.4
504.1	84.6
504.5	84.0
505.0	81.4
505.5	83.5
505.9	87.7
506.4	87.8
506.9	85.7
507.3	84.4
507.8	85.6
508.3	88.5
508.7	90.6
509.2	90.5
509.7	90.6
510.1	88.9
510.6	90.8
511.0	92.1
511.5	94.0
512.0	94.3
512.4	94.3
512.9	93.8
513.4	93.6
513.8	94.0
514.3	94.1
514.8	95.5
515.2	95.0
515.7	94.5
516.2	96.2
516.6	94.2
517.1	94.2
517.6	97.3
518.0	98.6
518.5	97.8
519.0	100.0
519.4	98.3
519.9	97.2
520.4	96.5
520.8	98.3
