Spectrometer
Copyright © Kvant 2011. All rights reserved.

Date: Tuesday, May 19, 2026 5:25:01 PM
Source image name: .bmp
Source image [pixels]: 1280 x 1024
Source image processed height [pixels]: 20
Source image processed [position pixel range]: 523 - 543

Spectrum range [nm]: 360.4 - 931.3

Chart Points:

Wave Length [nm]	Intensity [a.u.]

===START===
360.4	0.0
360.8	0.0
361.3	0.0
361.8	0.0
362.3	0.0
362.7	0.0
363.2	0.0
363.7	0.0
364.2	0.0
364.6	0.0
365.1	0.0
365.6	0.0
366.1	0.0
366.5	0.0
367.0	0.0
367.5	0.0
368.0	0.0
368.4	0.0
368.9	0.0
369.4	0.0
369.9	0.0
370.3	0.0
370.8	0.0
371.3	0.0
371.8	0.0
372.2	0.0
372.7	0.0
373.2	0.0
373.7	0.0
374.1	0.0
374.6	0.0
375.1	0.0
375.6	0.0
376.0	0.0
376.5	0.0
377.0	0.0
377.5	0.0
377.9	0.0
378.4	0.0
378.9	0.0
379.4	0.0
379.8	0.0
380.3	0.0
380.8	0.0
381.3	0.0
381.7	0.0
382.2	0.0
382.7	0.0
383.2	0.0
383.6	0.0
384.1	0.0
384.6	0.0
385.1	0.0
385.5	0.0
386.0	0.0
386.5	0.0
387.0	0.0
387.4	0.0
387.9	0.0
388.4	0.0
388.9	0.0
389.3	0.0
389.8	0.0
390.3	0.0
390.8	0.0
391.2	0.0
391.7	0.0
392.2	0.0
392.7	0.0
393.1	0.0
393.6	0.0
394.1	0.0
394.5	0.0
395.0	0.0
395.5	0.0
396.0	0.0
396.4	0.0
396.9	0.0
397.4	0.0
397.9	0.0
398.3	0.0
398.8	0.0
399.3	0.0
399.8	0.0
400.2	0.0
400.7	0.0
401.2	0.0
401.6	0.0
402.1	0.0
402.6	0.0
403.1	0.0
403.5	0.0
404.0	0.0
404.5	0.0
405.0	0.0
405.4	0.0
405.9	0.0
406.4	0.0
406.9	0.0
407.3	0.0
407.8	0.0
408.3	0.0
408.7	0.0
409.2	0.0
409.7	0.0
410.2	0.0
410.6	0.0
411.1	0.0
411.6	0.0
412.1	0.0
412.5	0.0
413.0	0.0
413.5	0.0
413.9	0.0
414.4	0.0
414.9	0.0
415.4	0.0
415.8	0.0
416.3	0.0
416.8	0.0
417.2	0.0
417.7	0.0
418.2	0.0
418.7	0.0
419.1	0.0
419.6	0.0
420.1	0.0
420.6	0.0
421.0	0.0
421.5	0.0
422.0	0.0
422.4	0.0
422.9	0.0
423.4	0.0
423.9	0.0
424.3	0.0
424.8	0.0
425.3	0.0
425.7	0.0
426.2	0.0
426.7	0.0
427.2	0.0
427.6	0.0
428.1	0.0
428.6	0.0
429.0	0.0
429.5	0.0
430.0	0.0
430.5	0.0
430.9	0.0
431.4	0.0
431.9	0.0
432.3	0.0
432.8	0.0
433.3	0.0
433.8	0.0
434.2	0.0
434.7	0.0
435.2	0.0
435.6	0.0
436.1	0.0
436.6	0.0
437.1	0.0
437.5	0.0
438.0	0.0
438.5	0.0
438.9	0.0
439.4	0.0
439.9	0.0
440.3	0.0
440.8	0.0
441.3	0.0
441.8	0.0
442.2	0.0
442.7	0.0
443.2	0.0
443.6	0.0
444.1	0.0
444.6	0.0
445.1	0.0
445.5	0.0
446.0	0.0
446.5	0.0
446.9	0.0
447.4	0.0
447.9	0.0
448.3	0.0
448.8	0.0
449.3	0.0
449.8	0.0
450.2	0.0
450.7	0.0
451.2	0.0
451.6	0.0
452.1	0.0
452.6	0.0
453.0	0.0
453.5	0.0
454.0	0.0
454.5	0.0
454.9	0.0
455.4	0.0
455.9	0.0
456.3	0.0
456.8	0.0
457.3	0.0
457.7	0.0
458.2	0.0
458.7	0.0
459.1	0.0
459.6	0.0
460.1	0.0
460.6	0.0
461.0	0.0
461.5	0.0
462.0	0.0
462.4	0.0
462.9	0.0
463.4	0.0
463.8	0.0
464.3	0.0
464.8	0.0
465.2	0.0
465.7	0.0
466.2	0.0
466.7	0.0
467.1	0.0
467.6	0.0
468.1	0.0
468.5	0.0
469.0	0.0
469.5	0.0
469.9	0.0
470.4	0.0
470.9	0.0
471.3	0.0
471.8	0.0
472.3	0.0
472.7	0.0
473.2	0.0
473.7	0.0
474.2	0.0
474.6	0.0
475.1	0.0
475.6	0.0
476.0	0.0
476.5	0.0
477.0	0.0
477.4	0.0
477.9	0.0
478.4	0.0
478.8	0.0
479.3	0.0
479.8	0.0
480.2	0.0
480.7	0.0
481.2	0.0
481.6	0.0
482.1	0.0
482.6	0.0
483.0	0.0
483.5	0.0
484.0	0.0
484.4	0.0
484.9	0.0
485.4	0.0
485.8	0.0
486.3	0.0
486.8	0.0
487.3	0.0
487.7	0.0
488.2	0.0
488.7	0.0
489.1	0.0
489.6	0.0
490.1	0.0
490.5	0.0
491.0	0.0
491.5	0.0
491.9	0.0
492.4	0.0
492.9	0.0
493.3	0.0
493.8	0.0
494.3	0.0
494.7	0.0
495.2	0.0
495.7	0.0
496.1	0.0
496.6	0.0
497.1	0.0
497.5	0.0
498.0	0.0
498.5	0.0
498.9	0.0
499.4	0.0
499.9	0.0
500.3	0.0
500.8	0.0
501.3	0.0
501.7	0.0
502.2	0.0
502.7	0.0
503.1	0.0
503.6	0.0
504.1	0.0
504.5	0.0
505.0	0.0
505.5	0.0
505.9	0.0
506.4	0.0
506.9	0.0
507.3	0.0
507.8	0.0
508.3	0.0
508.7	0.0
509.2	0.0
509.7	0.0
510.1	0.0
510.6	0.0
511.0	0.0
511.5	0.0
512.0	0.0
512.4	0.0
512.9	0.0
513.4	0.0
513.8	0.0
514.3	0.0
514.8	0.0
515.2	0.0
515.7	0.0
516.2	0.0
516.6	0.0
517.1	0.0
517.6	0.0
518.0	0.0
518.5	0.0
519.0	0.0
519.4	0.0
519.9	0.2
520.4	0.0
520.8	0.0
